"N","size ratio","time ratio","type"
10,10.00000,1.68000,"Insert"
10,100.00000,52.74000,"Append"
10,100.00000,21.55000,"Insert"
10,1000.00000,440.49000,"Append"
10,1000.00000,65.02000,"Insert"
10,1.00000,0.92000,"Append"
10,1.00000,0.76000,"Insert"
10,10.00000,4.55000,"Append"
10,10.00000,1.93000,"Insert"
10,100.00000,53.87000,"Append"
10,100.00000,23.15000,"Insert"
10,1000.00000,400.45000,"Append"
10,1000.00000,72.08000,"Insert"
10,1.00000,0.86000,"Append"
10,1.00000,0.93000,"Insert"
10,10.00000,5.38000,"Append"
10,10.00000,2.28000,"Insert"
10,100.00000,82.02000,"Append"
10,100.00000,31.58000,"Insert"
10,1000.00000,410.34000,"Append"
10,1000.00000,75.48000,"Insert"
10,1.00000,0.85000,"Append"
10,1.00000,0.81000,"Insert"
10,10.00000,6.43000,"Append"
10,10.00000,2.47000,"Insert"
10,100.00000,50.05000,"Append"
10,100.00000,22.64000,"Insert"
10,1000.00000,641.99000,"Append"
10,1000.00000,81.94000,"Insert"
10,1.00000,0.92000,"Append"
10,1.00000,0.67000,"Insert"
10,10.00000,5.57000,"Append"
10,10.00000,2.39000,"Insert"
10,100.00000,73.47000,"Append"
10,100.00000,18.55000,"Insert"
10,1000.00000,509.08000,"Append"
10,1000.00000,75.52000,"Insert"
10,1.00000,0.90000,"Append"
10,1.00000,0.71000,"Insert"
10,10.00000,4.03000,"Append"
10,10.00000,2.29000,"Insert"
10,100.00000,45.59000,"Append"
10,100.00000,30.78000,"Insert"
10,1000.00000,457.05000,"Append"
10,1000.00000,97.99000,"Insert"
100,1.00000,1.27000,"Append"
100,1.00000,1.33000,"Insert"
100,10.00000,19.10000,"Append"
100,10.00000,11.02000,"Insert"
100,100.00000,136.68000,"Append"
100,100.00000,68.52000,"Insert"
100,1000.00000,493.32000,"Append"
100,1000.00000,92.90000,"Insert"
100,1.00000,0.97000,"Append"
100,1.00000,1.10000,"Insert"
100,10.00000,15.47000,"Append"
100,10.00000,5.41000,"Insert"
100,100.00000,167.36000,"Append"
100,100.00000,72.50000,"Insert"
100,1000.00000,1171.02000,"Append"
100,1000.00000,102.90000,"Insert"
100,1.00000,1.11000,"Append"
100,1.00000,0.92000,"Insert"
100,10.00000,15.93000,"Append"
100,10.00000,7.89000,"Insert"
100,100.00000,187.79000,"Append"
100,100.00000,47.50000,"Insert"
100,1000.00000,855.13000,"Append"
100,1000.00000,89.31000,"Insert"
100,1.00000,0.98000,"Append"
100,1.00000,1.04000,"Insert"
100,10.00000,21.09000,"Append"
100,10.00000,7.85000,"Insert"
100,100.00000,155.45000,"Append"
100,100.00000,48.97000,"Insert"
100,1000.00000,1227.33000,"Append"
100,1000.00000,107.56000,"Insert"
100,1.00000,1.12000,"Append"
100,1.00000,0.86000,"Insert"
100,10.00000,15.22000,"Append"
100,10.00000,8.03000,"Insert"
100,100.00000,138.15000,"Append"
100,100.00000,50.78000,"Insert"
100,1000.00000,989.86000,"Append"
100,1000.00000,65.73000,"Insert"
100,1.00000,1.45000,"Append"
100,1.00000,0.87000,"Insert"
100,10.00000,21.05000,"Append"
100,10.00000,7.39000,"Insert"
100,100.00000,138.02000,"Append"
100,100.00000,70.18000,"Insert"
100,1000.00000,1028.80000,"Append"
100,1000.00000,103.54000,"Insert"
100,1.00000,1.00000,"Append"
100,1.00000,0.95000,"Insert"
100,10.00000,14.56000,"Append"
100,10.00000,7.92000,"Insert"
100,100.00000,175.22000,"Append"
100,100.00000,47.25000,"Insert"
100,1000.00000,1006.65000,"Append"
100,1000.00000,99.95000,"Insert"
100,1.00000,0.94000,"Append"
100,1.00000,0.93000,"Insert"
100,10.00000,14.70000,"Append"
100,10.00000,7.58000,"Insert"
100,100.00000,145.30000,"Append"
100,100.00000,57.98000,"Insert"
100,1000.00000,943.90000,"Append"
100,1000.00000,94.16000,"Insert"
100,1.00000,1.09000,"Append"
100,1.00000,1.10000,"Insert"
100,10.00000,14.27000,"Append"
100,10.00000,8.56000,"Insert"
100,100.00000,163.53000,"Append"
100,100.00000,50.95000,"Insert"
100,1000.00000,931.55000,"Append"
100,1000.00000,95.83000,"Insert"
100,1.00000,1.08000,"Append"
100,1.00000,0.91000,"Insert"
100,10.00000,14.12000,"Append"
100,10.00000,11.27000,"Insert"
100,100.00000,165.28000,"Append"
100,100.00000,53.01000,"Insert"
100,1000.00000,900.17000,"Append"
100,1000.00000,97.88000,"Insert"
1000,1.00000,1.68000,"Append"
1000,1.00000,2.23000,"Insert"
1000,10.00000,15.68000,"Append"
1000,10.00000,13.24000,"Insert"
1000,100.00000,190.81000,"Append"
1000,100.00000,68.63000,"Insert"
1000,1000.00000,788.72000,"Append"
1000,1000.00000,113.61000,"Insert"
1000,1.00000,1.26000,"Append"
1000,1.00000,1.88000,"Insert"
1000,10.00000,14.06000,"Append"
1000,10.00000,12.35000,"Insert"
1000,100.00000,185.67000,"Append"
1000,100.00000,62.70000,"Insert"
1000,1000.00000,793.83000,"Append"
1000,1000.00000,107.91000,"Insert"
1000,1.00000,0.93000,"Append"
1000,1.00000,2.33000,"Insert"
1000,10.00000,14.62000,"Append"
1000,10.00000,11.96000,"Insert"
1000,100.00000,199.23000,"Append"
1000,100.00000,64.79000,"Insert"
1000,1000.00000,932.71000,"Append"
1000,1000.00000,75.87000,"Insert"
1000,1.00000,1.67000,"Append"
1000,1.00000,1.94000,"Insert"
1000,10.00000,15.39000,"Append"
1000,10.00000,12.09000,"Insert"
1000,100.00000,148.28000,"Append"
1000,100.00000,53.66000,"Insert"
1000,1000.00000,829.17000,"Append"
