"computation time (s)","series size n","series_type","visibility","Method"
0.00086,50.00000,"random","nvg","dc"
0.00169,50.00000,"random","nvg","bt"
0.00160,50.00000,"random","hvg","basic"
0.00085,50.00000,"random","hvg","dc"
0.00066,50.00000,"random","hvg","bt"
0.00268,50.00000,"random","nvg","basic"
0.00097,50.00000,"random","nvg","dc"
0.00194,50.00000,"random","nvg","bt"
0.00182,50.00000,"random","hvg","basic"
0.00100,50.00000,"random","hvg","dc"
0.00074,50.00000,"random","hvg","bt"
0.00261,50.00000,"random","nvg","basic"
0.00089,50.00000,"random","nvg","dc"
0.00178,50.00000,"random","nvg","bt"
0.00180,50.00000,"random","hvg","basic"
0.00090,50.00000,"random","hvg","dc"
0.00070,50.00000,"random","hvg","bt"
0.00268,50.00000,"random","nvg","basic"
0.00073,50.00000,"random","nvg","dc"
0.00145,50.00000,"random","nvg","bt"
0.00182,50.00000,"random","hvg","basic"
0.00071,50.00000,"random","hvg","dc"
0.00063,50.00000,"random","hvg","bt"
0.00271,50.00000,"random","nvg","basic"
0.00091,50.00000,"random","nvg","dc"
0.00185,50.00000,"random","nvg","bt"
0.00199,50.00000,"random","hvg","basic"
0.00095,50.00000,"random","hvg","dc"
0.00071,50.00000,"random","hvg","bt"
0.00279,50.00000,"random","nvg","basic"
0.00098,50.00000,"random","nvg","dc"
0.00194,50.00000,"random","nvg","bt"
0.00214,50.00000,"random","hvg","basic"
0.00100,50.00000,"random","hvg","dc"
0.00073,50.00000,"random","hvg","bt"
0.00273,50.00000,"random","nvg","basic"
0.00096,50.00000,"random","nvg","dc"
0.00187,50.00000,"random","nvg","bt"
0.00187,50.00000,"random","hvg","basic"
0.00092,50.00000,"random","hvg","dc"
0.00070,50.00000,"random","hvg","bt"
0.00340,50.00000,"conway","nvg","basic"
0.00116,50.00000,"conway","nvg","dc"
0.00237,50.00000,"conway","nvg","bt"
0.00093,50.00000,"conway","hvg","basic"
0.00089,50.00000,"conway","hvg","dc"
0.00091,50.00000,"conway","hvg","bt"
0.01453,100.00000,"walk","nvg","basic"
0.00887,100.00000,"walk","nvg","dc"
0.01801,100.00000,"walk","nvg","bt"
0.00796,100.00000,"walk","hvg","basic"
0.00620,100.00000,"walk","hvg","dc"
0.00298,100.00000,"walk","hvg","bt"
0.01389,100.00000,"walk","nvg","basic"
0.00424,100.00000,"walk","nvg","dc"
0.00867,100.00000,"walk","nvg","bt"
0.00830,100.00000,"walk","hvg","basic"
0.00382,100.00000,"walk","hvg","dc"
0.00232,100.00000,"walk","hvg","bt"
0.01362,100.00000,"walk","nvg","basic"
0.00481,100.00000,"walk","nvg","dc"
0.00985,100.00000,"walk","nvg","bt"
0.00737,100.00000,"walk","hvg","basic"
0.00371,100.00000,"walk","hvg","dc"
0.00237,100.00000,"walk","hvg","bt"
0.01384,100.00000,"walk","nvg","basic"
0.00690,100.00000,"walk","nvg","dc"
0.01341,100.00000,"walk","nvg","bt"
0.00761,100.00000,"walk","hvg","basic"
0.00496,100.00000,"walk","hvg","dc"
0.00276,100.00000,"walk","hvg","bt"
0.01621,100.00000,"walk","nvg","basic"
0.00941,100.00000,"walk","nvg","dc"
0.01666,100.00000,"walk","nvg","bt"
0.00851,100.00000,"walk","hvg","basic"
0.00602,100.00000,"walk","hvg","dc"
0.00319,100.00000,"walk","hvg","bt"
0.01821,100.00000,"walk","nvg","basic"
0.00861,100.00000,"walk","nvg","dc"
0.01373,100.00000,"walk","nvg","bt"
0.00916,100.00000,"walk","hvg","basic"
0.00496,100.00000,"walk","hvg","dc"
0.00277,100.00000,"walk","hvg","bt"
0.01415,100.00000,"walk","nvg","basic"
0.00750,100.00000,"walk","nvg","dc"
0.01236,100.00000,"walk","nvg","bt"
0.00828,100.00000,"walk","hvg","basic"
0.00443,100.00000,"walk","hvg","dc"
0.00257,100.00000,"walk","hvg","bt"
0.01998,100.00000,"walk","nvg","basic"
0.00847,100.00000,"walk","nvg","dc"
0.01417,100.00000,"walk","nvg","bt"
0.00994,100.00000,"walk","hvg","basic"
0.00497,100.00000,"walk","hvg","dc"
0.00269,100.00000,"walk","hvg","bt"
0.01319,100.00000,"walk","nvg","basic"
0.00292,100.00000,"walk","nvg","dc"
0.00610,100.00000,"walk","nvg","bt"
0.00825,100.00000,"walk","hvg","basic"
0.00263,100.00000,"walk","hvg","dc"
0.00166,100.00000,"walk","hvg","bt"
0.01435,100.00000,"walk","nvg","basic"
0.00520,100.00000,"walk","nvg","dc"
0.01083,100.00000,"walk","nvg","bt"
0.00865,100.00000,"walk","hvg","basic"
0.00473,100.00000,"walk","hvg","dc"
0.00255,100.00000,"walk","hvg","bt"
0.01307,100.00000,"random","nvg","basic"
0.00221,100.00000,"random","nvg","dc"
0.00451,100.00000,"random","nvg","bt"
0.00885,100.00000,"random","hvg","basic"
0.00213,100.00000,"random","hvg","dc"
0.00151,100.00000,"random","hvg","bt"
0.01226,100.00000,"random","nvg","basic"
0.00268,100.00000,"random","nvg","dc"
0.00534,100.00000,"random","nvg","bt"
0.00823,100.00000,"random","hvg","basic"
0.00257,100.00000,"random","hvg","dc"
0.00162,100.00000,"random","hvg","bt"
0.01190,100.00000,"random","nvg","basic"
0.00192,100.00000,"random","nvg","dc"
0.00402,100.00000,"random","nvg","bt"
0.00813,100.00000,"random","hvg","basic"
0.00189,100.00000,"random","hvg","dc"
0.00143,100.00000,"random","hvg","bt"
0.01228,100.00000,"random","nvg","basic"
0.00255,100.00000,"random","nvg","dc"
0.00512,100.00000,"random","nvg","bt"
0.00854,100.00000,"random","hvg","basic"
0.00241,100.00000,"random","hvg","dc"
0.00160,100.00000,"random","hvg","bt"
0.01249,100.00000,"random","nvg","basic"
0.00226,100.00000,"random","nvg","dc"
0.00464,100.00000,"random","nvg","bt"
0.00768,100.00000,"random","hvg","basic"
0.00223,100.00000,"random","hvg","dc"
0.00170,100.00000,"random","hvg","bt"
0.01268,100.00000,"random","nvg","basic"
0.00230,100.00000,"random","nvg","dc"
0.00486,100.00000,"random","nvg","bt"
0.00799,100.00000,"random","hvg","basic"
0.00225,100.00000,"random","hvg","dc"
0.00169,100.00000,"random","hvg","bt"
0.01211,100.00000,"random","nvg","basic"
0.00215,100.00000,"random","nvg","dc"
0.00445,100.00000,"random","nvg","bt"
0.00793,100.00000,"random","hvg","basic"
0.00199,100.00000,"random","hvg","dc"
0.00146,100.00000,"random","hvg","bt"
0.01181,100.00000,"random","nvg","basic"
0.00189,100.00000,"random","nvg","dc"
0.00400,100.00000,"random","nvg","bt"
0.00716,100.00000,"random","hvg","basic"
0.00186,100.00000,"random","hvg","dc"
0.00143,100.00000,"random","hvg","bt"
0.01154,100.00000,"random","nvg","basic"
0.00191,100.00000,"random","nvg","dc"
0.00396,100.00000,"random","nvg","bt"
0.00790,100.00000,"random","hvg","basic"
0.00202,100.00000,"random","hvg","dc"
0.00143,100.00000,"random","hvg","bt"
0.01161,100.00000,"random","nvg","basic"
0.00249,100.00000,"random","nvg","dc"
0.00514,100.00000,"random","nvg","bt"
0.00660,100.00000,"random","hvg","basic"
0.00241,100.00000,"random","hvg","dc"
0.00161,100.00000,"random","hvg","bt"
0.01597,100.00000,"conway","nvg","basic"
0.00357,100.00000,"conway","nvg","dc"
0.00701,100.00000,"conway","nvg","bt"
0.00400,100.00000,"conway","hvg","basic"
0.00270,100.00000,"conway","hvg","dc"
0.00228,100.00000,"conway","hvg","bt"
0.68591,500.00000,"walk","nvg","basic"
0.31510,500.00000,"walk","nvg","dc"
0.54533,500.00000,"walk","nvg","bt"
0.26042,500.00000,"walk","hvg","basic"
0.07695,500.00000,"walk","hvg","dc"
0.03151,500.00000,"walk","hvg","bt"
0.70595,500.00000,"walk","nvg","basic"
0.20823,500.00000,"walk","nvg","dc"
0.36160,500.00000,"walk","nvg","bt"
0.27906,500.00000,"walk","hvg","basic"
0.06440,500.00000,"walk","hvg","dc"
